Date;Year;Open;High;Low;Close;Adj Close;Volume;Daily Stock Return Direction;Daily Stock Return (%);Daily Trading Volume Change (%);Price Anomaly Category;Volume Anomaly Category;Strong Anomaly
01/01/2019;2019;765;765;765;765;618.09;;;;;Normal;Normal;No
02/01/2019;2019;770;775;735;740;597.89;53,128,900;-;-3.268;#DIV/0!;Normal;Normal;No
03/01/2019;2019;750;755;740;750;605.97;34,641,100;+;1.3514;-34.798;Normal;Normal;No
04/01/2019;2019;750;765;745;760;614.05;59,878,500;+;1.3333;72.8539;Normal;Normal;No
07/01/2019;2019;775;785;765;770;622.13;65,853,100;+;1.3158;9.9779;Normal;Normal;No
08/01/2019;2019;775;780;755;760;614.05;82,485,900;-;-1.2987;25.2574;Normal;Normal;No
09/01/2019;2019;770;790;765;780;630.21;105,654,500;+;2.6316;28.088;Normal;Normal;No
10/01/2019;2019;780;805;775;790;638.29;150,289,500;+;1.2821;42.2462;Normal;Normal;No
11/01/2019;2019;795;800;780;790;638.29;56,407,400;0;0;-62.4675;Normal;Sharp Volume Decrease;No
14/01/2019;2019;795;795;775;780;630.21;41,648,200;-;-1.2658;-26.1654;Normal;Normal;No
15/01/2019;2019;780;830;780;820;662.53;165,281,200;+;5.1282;296.8508;Normal;Sharp Volume Increase;No
16/01/2019;2019;830;885;825;870;702.93;245,187,100;+;6.0976;48.3454;Sharp Price Increase;Normal;No
17/01/2019;2019;870;885;840;845;682.73;92,137,700;-;-2.8736;-62.4215;Normal;Sharp Volume Decrease;No
18/01/2019;2019;850;870;840;850;686.77;73,986,800;+;0.5917;-19.6998;Normal;Normal;No
21/01/2019;2019;855;870;850;855;690.81;72,190,100;+;0.5882;-2.4284;Normal;Normal;No
22/01/2019;2019;855;860;820;830;670.61;77,107,300;-;-2.924;6.8115;Normal;Normal;No
23/01/2019;2019;830;885;825;860;694.85;141,396,200;+;3.6145;83.3759;Normal;Normal;No
24/01/2019;2019;865;905;855;895;723.13;196,537,400;+;4.0698;38.9977;Normal;Normal;No
25/01/2019;2019;895;945;895;930;751.41;261,090,200;+;3.9106;32.845;Normal;Normal;No
28/01/2019;2019;945;950;910;910;735.25;132,450,700;-;-2.1505;-49.2701;Normal;Normal;No
29/01/2019;2019;910;930;900;920;743.33;96,595,800;+;1.0989;-27.0704;Normal;Normal;No
30/01/2019;2019;935;960;935;950;767.56;180,203,800;+;3.2609;86.5545;Normal;Normal;No
31/01/2019;2019;965;980;955;965;779.68;133,938,100;+;1.5789;-25.6741;Normal;Normal;No
01/02/2019;2019;975;975;955;960;775.64;59,971,800;-;-0.5181;-55.2242;Normal;Normal;No
04/02/2019;2019;970;1,040.00;970;1,010.00;816.04;303,518,900;+;5.2083;406.1027;Normal;Sharp Volume Increase;No
05/02/2019;2019;1,010.00;1,010.00;1,010.00;1,010.00;816.04;;0;0;-100;Normal;Sharp Volume Decrease;No
06/02/2019;2019;1,025.00;1,100.00;1,005.00;1,095.00;884.72;285,524,200;+;8.4158;#DIV/0!;Sharp Price Increase;Normal;No
07/02/2019;2019;1,080.00;1,150.00;1,050.00;1,060.00;856.44;369,835,900;-;-3.1963;29.5287;Normal;Normal;No
08/02/2019;2019;1,050.00;1,080.00;1,025.00;1,025.00;828.16;179,593,300;-;-3.3019;-51.4397;Normal;Normal;No
11/02/2019;2019;1,025.00;1,025.00;975;980;791.8;222,915,600;-;-4.3902;24.1224;Sharp Price Decrease;Normal;No
12/02/2019;2019;980;995;935;960;775.64;182,840,300;-;-2.0408;-17.9778;Normal;Normal;No
13/02/2019;2019;975;1,040.00;950;1,010.00;816.04;277,124,100;+;5.2083;51.5662;Normal;Normal;No
14/02/2019;2019;1,020.00;1,030.00;985;1,000.00;807.96;139,034,400;-;-0.9901;-49.8296;Normal;Normal;No
15/02/2019;2019;990;995;950;950;767.56;142,476,600;-;-5;2.4758;Sharp Price Decrease;Normal;No
18/02/2019;2019;975;1,020.00;970;995;803.92;173,591,600;+;4.7368;21.8387;Normal;Normal;No
19/02/2019;2019;1,000.00;1,055.00;995;1,025.00;828.16;255,674,400;+;3.0151;47.285;Normal;Normal;No
20/02/2019;2019;1,040.00;1,090.00;1,040.00;1,060.00;856.44;261,788,400;+;3.4146;2.3913;Normal;Normal;No
21/02/2019;2019;1,080.00;1,085.00;1,030.00;1,035.00;836.24;158,909,700;-;-2.3585;-39.2984;Normal;Normal;No
22/02/2019;2019;1,035.00;1,060.00;1,010.00;1,055.00;852.4;129,281,800;+;1.9324;-18.6445;Normal;Normal;No
25/02/2019;2019;1,065.00;1,090.00;1,060.00;1,085.00;876.64;177,237,000;+;2.8436;37.0935;Normal;Normal;No
26/02/2019;2019;1,075.00;1,075.00;1,035.00;1,045.00;844.32;148,389,300;-;-3.6866;-16.2763;Normal;Normal;No
27/02/2019;2019;1,055.00;1,060.00;1,030.00;1,030.00;832.2;61,838,900;-;-1.4354;-58.3266;Normal;Sharp Volume Decrease;No
28/02/2019;2019;1,040.00;1,045.00;980;1,015.00;820.08;192,898,000;-;-1.4563;211.9363;Normal;Sharp Volume Increase;No
01/03/2019;2019;1,000.00;1,055.00;1,000.00;1,055.00;852.4;117,661,600;+;3.9409;-39.0032;Normal;Normal;No
04/03/2019;2019;1,060.00;1,075.00;1,045.00;1,050.00;848.36;100,864,600;-;-0.4739;-14.2757;Normal;Normal;No
05/03/2019;2019;1,040.00;1,065.00;1,015.00;1,035.00;836.24;126,418,900;-;-1.4286;25.3353;Normal;Normal;No
